level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Eta
512,960,10191400,1,10193,Absent,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,28,4,Unicorn_Absent,-1,-1.0,0,28,0.975,6.0,1.0,41.0,0.0,0.578125,RS,0.45215719036181795,,,,,,0,1
514,962,10191400,2,10193,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Unicorn_Absent,-1,-1.0,4,28,0.8,32.0,0.11764705882352941,32.0,0.0,0.0,UP,0.18818508442027443,0.975,1.0,0.0,4,0.45215719036181795,0,1
516,966,10191400,4,10193,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,92,1.0,32.0,1.0,32.0,0.3313325330132053,0.5,UP,0.18818508442027443,0.8,0.11764705882352941,0.0,32,0.18818508442027443,0,1
518,968,10191400,5,10193,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,3,108,0.9,32.0,0.0,48.0,0.3313325330132053,0.5,DOWN,0.17389813739634405,1.0,1.0,0.3313325330132053,0,0.18818508442027443,0,1
520,972,10191400,7,10193,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,3,151,0.8875,32.0,1.0,50.0,1.0,0.5,DOWN,0.17389813739634405,0.9,0.0,0.3313325330132053,16,0.17389813739634405,0,1
522,980,10191400,11,10193,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,6,221,0.8,32.0,0.3333333333333333,32.0,1.0,0.0,RIGHT,0.17389813739634405,0.8875,1.0,1.0,18,0.17389813739634405,0,1
524,982,10191400,12,10193,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,6,237,0.9,32.0,1.0,48.0,0.0,0.5,RIGHT,0.17389813739634405,0.8,0.3333333333333333,1.0,32,0.17389813739634405,0,1
526,984,10191400,13,10193,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,Unicorn_Absent,-1,-1.0,4,253,0.9,32.0,0.3333333333333333,48.0,0.0,0.5,UP,0.18818508442027443,0.9,1.0,0.0,16,0.17389813739634405,0,1
528,986,10191400,14,10193,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,285,1.0,0.0,0.0,32.0,0.64,0.5,NOTHING,0.6542510918525355,0.9,0.3333333333333333,0.0,16,0.18818508442027443,0,1
530,990,10191400,16,10193,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,6,235,0.8875,32.0,0.0,50.0,0.64,0.5,RIGHT,0.17389813739634405,1.0,0.0,0.64,0,0.6542510918525355,0,1
532,992,10191400,17,10193,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,267,1.0,32.0,0.3333333333333333,32.0,0.026666666666666672,0.5,UP,0.18818508442027443,0.8875,0.0,0.64,18,0.17389813739634405,0,1
534,994,10191400,18,10193,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,18,14,Unicorn_Absent,-1,-1.0,5,285,0.9125,32.0,0.3333333333333333,46.0,0.026666666666666672,0.5,LEFT,0.18818508442027443,1.0,0.3333333333333333,0.026666666666666672,0,0.18818508442027443,0,1
536,996,10191400,19,10193,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,32,Unicorn_Absent,-1,-1.0,5,285,0.8,32.0,1.0,32.0,0.6666666666666667,0.0,LEFT,0.18818508442027443,0.9125,0.3333333333333333,0.026666666666666672,14,0.18818508442027443,0,1
538,998,10191400,20,10193,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,317,1.0,0.0,0.0,32.0,0.6666666666666667,0.5,NOTHING,0.6542510918525355,0.8,1.0,0.6666666666666667,32,0.18818508442027443,0,1
540,1002,10191400,22,10193,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,381,1.0,32.0,0.0,64.0,0.0,1.0,UP,0.18818508442027443,1.0,0.0,0.6666666666666667,0,0.6542510918525355,0,1
542,1006,10191400,24,10193,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,6,321,0.9125,32.0,0.3333333333333333,46.0,0.0,0.5,RIGHT,0.17389813739634405,1.0,0.0,0.0,0,0.18818508442027443,0,1
544,1008,10191400,25,10193,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,6,335,0.8875,32.0,1.0,50.0,0.3333333333333333,0.5,RIGHT,0.17389813739634405,0.9125,0.3333333333333333,0.0,14,0.17389813739634405,0,1
546,1016,10191400,29,10193,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,244,1.0,32.0,0.0,64.0,0.3333333333333333,1.0,LEFT,0.18818508442027443,0.8875,1.0,0.3333333333333333,18,0.17389813739634405,0,1
548,1018,10191400,30,10193,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,276,1.0,32.0,1.0,32.0,0.36,0.5,LEFT,0.18818508442027443,1.0,0.0,0.3333333333333333,0,0.18818508442027443,0,1
