index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Eta
4801,12098713,1,87130,Absent,54,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,24,8,Unicorn_Absent,-1,-1,9,24,0.95,36.0,1.0,44.0,0.0,0.5625,,,,,,,10,0.8
4803,12098713,2,87130,Absent,54,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,24,8,Unicorn_Absent,-1,-1,9,48,0.95,36.0,1.0,44.0,0.0,0.5625,,0.95,1.0,0.0,8,,10,0.8
4809,12098713,5,87130,Absent,54,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,24,8,Unicorn_Absent,-1,-1,9,-72,0.95,36.0,1.0,44.0,0.0,0.5625,,0.95,1.0,0.0,8,,10,0.8
4813,12098713,7,87130,Absent,54,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,24,8,Unicorn_Absent,-1,-1,9,-120,0.95,36.0,1.0,44.0,0.0,0.5625,,0.95,1.0,0.0,8,,10,0.8
4819,12098713,10,87130,Absent,25,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,29,3,Unicorn_Absent,-1,-1,9,-29,0.98125,21.0,0.26666666666666666,32.0,0.0,0.453125,,0.95,1.0,0.0,8,,10,0.8
4833,12098713,17,87130,Absent,42,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,15,17,Unicorn_Absent,-1,-1,9,63,0.89375,29.0,0.21951219512195122,54.0,0.0,0.578125,,0.98125,0.26666666666666666,0.0,3,,10,0.8
4835,12098713,18,87130,Absent,42,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,15,17,Unicorn_Absent,-1,-1,9,78,0.89375,29.0,1.0,54.0,0.0,0.578125,,0.89375,0.21951219512195122,0.0,17,,10,0.8
4837,12098713,19,87130,Absent,42,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,15,17,Unicorn_Absent,-1,-1,9,93,0.89375,29.0,1.0,54.0,0.0,0.578125,,0.89375,1.0,0.0,17,,10,0.8
4839,12098713,20,87130,Absent,42,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,15,17,Unicorn_Absent,-1,-1,9,108,0.89375,29.0,1.0,54.0,0.15555555555555556,0.578125,,0.89375,1.0,0.0,17,,10,0.8
4843,12098713,22,87130,Absent,42,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,15,17,Unicorn_Absent,-1,-1,9,151,0.89375,29.0,1.0,54.0,0.15555555555555556,0.578125,,0.89375,1.0,0.15555555555555556,17,,10,0.8
