index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Zeta
600,11083231,1,110826,Absent,56,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,13,19,Unicorn_Absent,-1,-1.0,0,13,0.88125,38.0,1.0,54.0,0.0,0.546875,RS,,,,,,3,2
602,11083231,2,110826,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,6,31,0.9125,32.0,0.4,46.0,0.0,0.5,RIGHT,0.88125,1.0,0.0,19,RS,3,2
608,11083231,5,110826,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,6,109,0.8875,32.0,1.0,50.0,0.14,0.5,RIGHT,0.9125,0.4,0.0,14,RIGHT,3,2
612,11083231,7,110826,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,4,155,0.8875,32.0,0.3333333333333333,50.0,0.14,0.5,UP,0.8875,1.0,0.14,18,RIGHT,3,2
616,11083231,9,110826,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,6,199,0.9,32.0,0.3333333333333333,48.0,1.0,0.5,RIGHT,0.8875,0.3333333333333333,0.14,18,UP,3,2
620,11083231,11,110826,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,8,240,0.9125,28.0,0.30434782608695654,46.0,1.0,0.5,OUT,0.9,0.3333333333333333,1.0,16,RIGHT,3,2
624,11083231,13,110826,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,304,1.0,0.0,0.0,32.0,0.6666666666666667,0.5,NOTHING,0.9125,0.30434782608695654,1.0,14,OUT,3,2
626,11083231,14,110826,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,336,1.0,0.0,1.0,32.0,0.6666666666666667,0.5,NOTHING,1.0,0.0,0.6666666666666667,0,NOTHING,3,2
636,11083231,19,110826,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,384,1.0,32.0,0.0,64.0,0.026666666666666672,1.0,LEFT,1.0,1.0,0.6666666666666667,0,NOTHING,3,2
642,11083231,22,110826,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,480,1.0,32.0,1.0,64.0,0.026666666666666672,1.0,LEFT,1.0,0.0,0.026666666666666672,0,LEFT,3,2
