level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
2620,5282,13242475,2,132400,Absent,37,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,30,2,Unicorn_Absent,-1,-1,0,-36,0.9875,27.0,1.0,30.0,0.0,0.4375,RS,0.19878142154087985,,,,,,0.05,0
2622,5284,13242475,3,132400,Absent,62,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,8,24,Unicorn_Absent,-1,-1,0,-28,0.85,42.0,0.35294117647058826,56.0,0.0,0.5,RS,0.13669886006878335,0.9875,1.0,0.0,2,0.19878142154087985,0.05,0
2624,5288,13242475,5,132400,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,13,19,Unicorn_Absent,-1,-1,6,-103,0.88125,32.0,0.4230769230769231,51.0,0.3041606886657102,0.5,RIGHT,0.17389813739634405,0.85,0.35294117647058826,0.0,24,0.13669886006878335,0.05,0
2626,5290,13242475,6,132400,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,Unicorn_Absent,-1,-1,4,-93,0.8625,32.0,0.3333333333333333,48.0,0.3041606886657102,0.40625,UP,0.18818508442027443,0.88125,0.4230769230769231,0.3041606886657102,19,0.17389813739634405,0.05,0
2628,5292,13242475,7,132400,Absent,41,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,18,14,Unicorn_Absent,-1,-1,0,-75,0.9125,26.0,0.23404255319148937,50.0,0.5769230769230769,0.5625,RS,0.20444612479589325,0.8625,0.3333333333333333,0.3041606886657102,22,0.18818508442027443,0.05,0
2630,5300,13242475,11,132400,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,Unicorn_Absent,-1,-1,3,-188,0.9,32.0,0.3488372093023256,54.0,0.5769230769230769,0.59375,DOWN,0.17389813739634405,0.9125,0.23404255319148937,0.5769230769230769,14,0.20444612479589325,0.05,0
2632,5302,13242475,12,132400,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,-156,1.0,0.0,0.0,38.0,0.6666666666666667,0.59375,NOTHING,0.6542510918525355,0.9,0.3488372093023256,0.5769230769230769,16,0.17389813739634405,0.05,0
2634,5304,13242475,13,132400,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,-124,1.0,0.0,1.0,27.0,0.6666666666666667,0.421875,NOTHING,0.6542510918525355,1.0,0.0,0.6666666666666667,0,0.6542510918525355,0.05,0
2636,5306,13242475,14,132400,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,-92,1.0,0.0,1.0,24.0,0.7659574468085106,0.375,NOTHING,0.6542510918525355,1.0,1.0,0.6666666666666667,0,0.6542510918525355,0.05,0
2638,5318,13242475,20,132400,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,8,4,1.0,28.0,0.0,64.0,0.7659574468085106,1.0,OUT,0.2103787656745015,1.0,1.0,0.7659574468085106,0,0.6542510918525355,0.05,0
