index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
3240,10055809,1,100560,Absent,61,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,12,20,Unicorn_Absent,-1,-1.0,0,12,0.875,35.0,1.0,49.0,0.0,0.453125,RS,,,,,,0.3,0.1
3244,10055809,3,100560,Absent,27,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,18,14,Unicorn_Absent,-1,-1.0,0,-49,0.9125,21.0,0.24444444444444444,41.0,0.0,0.421875,RS,0.875,1.0,0.0,20,RS,0.3,0.1
3246,10055809,4,100560,Absent,27,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,24,8,Unicorn_Absent,-1,-1.0,0,-25,0.95,21.0,1.0,41.0,0.7555555555555555,0.515625,RS,0.9125,0.24444444444444444,0.0,14,RS,0.3,0.1
3252,10055809,7,100560,Absent,27,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,32,0,Unicorn_Absent,-1,-1.0,0,-121,1.0,21.0,1.0,21.0,0.7555555555555555,0.328125,RS,0.95,1.0,0.7555555555555555,8,RS,0.3,0.1
3258,10055809,10,100560,Absent,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,30,2,Unicorn_Absent,-1,-1.0,0,-30,0.9875,18.0,0.08333333333333333,31.0,0.6808510638297872,0.453125,RS,1.0,1.0,0.7555555555555555,0,RS,0.3,0.1
3260,10055809,11,100560,Absent,56,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,24,8,Unicorn_Absent,-1,-1.0,0,-6,0.95,38.0,0.14285714285714285,43.0,0.6808510638297872,0.546875,RS,0.9875,0.08333333333333333,0.6808510638297872,2,RS,0.3,0.1
3270,10055809,16,100560,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,6,44,0.9125,32.0,0.4,45.0,1.0,0.484375,RIGHT,0.95,0.14285714285714285,0.6808510638297872,8,RS,0.3,0.1
3276,10055809,19,100560,Absent,40,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,13,19,Unicorn_Absent,-1,-1.0,0,-109,0.88125,32.0,0.3617021276595745,40.0,1.0,0.328125,RS,0.9125,0.4,1.0,14,RIGHT,0.3,0.1
3282,10055809,22,100560,Absent,47,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,21,11,Unicorn_Absent,-1,-1.0,0,-142,0.93125,30.0,0.16981132075471697,46.0,0.08333333333333333,0.546875,RS,0.88125,0.3617021276595745,1.0,19,RS,0.3,0.1
3286,10055809,24,100560,Absent,52,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,12,20,Unicorn_Absent,-1,-1.0,0,-98,0.875,39.0,0.3269230769230769,49.0,0.08333333333333333,0.453125,RS,0.93125,0.16981132075471697,0.08333333333333333,11,RS,0.3,0.1
