index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
242,10318221,2,103138,Absent,30,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,13,19,Unicorn_Absent,-1,-1.0,0,-70,0.88125,25.0,1.0,47.0,0.0,0.4375,RS,,,,,,0.5,0
246,10318221,4,103138,Absent,30,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,13,19,Unicorn_Absent,-1,-1.0,0,-140,0.88125,25.0,1.0,47.0,0.0,0.4375,RS,0.88125,1.0,0.0,19,RS,0.5,0
252,10318221,7,103138,Absent,30,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,13,19,Unicorn_Absent,-1,-1.0,0,-87,0.88125,25.0,1.0,47.0,0.0,0.4375,RS,0.88125,1.0,0.0,19,RS,0.5,0
258,10318221,10,103138,Absent,24,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,21,11,Unicorn_Absent,-1,-1.0,0,-6,0.93125,22.0,0.38235294117647056,35.0,0.0,0.375,RS,0.88125,1.0,0.0,19,RS,0.5,0
260,10318221,11,103138,Absent,24,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,21,11,Unicorn_Absent,-1,-1.0,0,15,0.93125,22.0,1.0,35.0,0.0,0.375,RS,0.93125,0.38235294117647056,0.0,11,RS,0.5,0
262,10318221,12,103138,Absent,24,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,21,11,Unicorn_Absent,-1,-1.0,0,36,0.93125,22.0,1.0,35.0,0.0,0.375,RS,0.93125,1.0,0.0,11,RS,0.5,0
264,10318221,13,103138,Absent,24,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,21,11,Unicorn_Absent,-1,-1.0,0,57,0.93125,22.0,1.0,35.0,0.13235294117647056,0.375,RS,0.93125,1.0,0.0,11,RS,0.5,0
272,10318221,17,103138,Absent,42,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,16,16,Unicorn_Absent,-1,-1.0,0,48,0.9,29.0,0.21428571428571427,47.0,0.13235294117647056,0.484375,RS,0.93125,1.0,0.13235294117647056,11,RS,0.5,0
276,10318221,19,103138,Absent,42,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,16,16,Unicorn_Absent,-1,-1.0,0,-16,0.9,29.0,1.0,47.0,0.0,0.484375,RS,0.9,0.21428571428571427,0.13235294117647056,16,RS,0.5,0
278,10318221,20,103138,Absent,42,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,16,16,Unicorn_Absent,-1,-1.0,0,0,0.9,29.0,1.0,47.0,0.0,0.484375,RS,0.9,1.0,0.0,16,RS,0.5,0
