level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
1663,3241,11284189,1,41892,Absent,41,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,15,17,Unicorn_Absent,-1,-1.0,9,15,0.89375,32.0,1.0,44.0,0.0,0.421875,,0.17389813739634405,,,,,,1,10
1665,3243,11284189,2,41892,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,6,33,0.9125,32.0,0.3333333333333333,47.0,0.0,0.515625,RIGHT,0.17389813739634405,0.89375,1.0,0.0,17,0.17389813739634405,1,10
1667,3245,11284189,3,41892,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,6,51,0.9125,32.0,1.0,47.0,0.6666666666666667,0.515625,RIGHT,0.17389813739634405,0.9125,0.3333333333333333,0.0,14,0.17389813739634405,1,10
1669,3253,11284189,7,41892,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,6,49,0.9,32.0,1.0,48.0,0.6666666666666667,0.5,RIGHT,0.17389813739634405,0.9125,1.0,0.6666666666666667,14,0.17389813739634405,1,10
1671,3261,11284189,11,41892,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,6,144,0.9,32.0,1.0,48.0,0.0,0.5,RIGHT,0.17389813739634405,0.9,1.0,0.6666666666666667,16,0.17389813739634405,1,10
1673,3265,11284189,13,41892,Absent,10,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,25,7,Unicorn_Absent,-1,-1.0,9,197,0.95625,10.0,0.13513513513513514,35.0,0.0,0.4375,,0.36972808936944906,0.9,1.0,0.0,16,0.17389813739634405,1,10
1675,3267,11284189,14,41892,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Unicorn_Absent,-1,-1.0,4,197,0.8,32.0,0.2,32.0,0.6444444444444444,0.0,UP,0.18818508442027443,0.95625,0.13513513513513514,0.0,7,0.36972808936944906,1,10
1677,3269,11284189,15,41892,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,4,211,0.8875,32.0,1.0,43.0,0.6444444444444444,0.390625,UP,0.18818508442027443,0.8,0.2,0.6444444444444444,32,0.18818508442027443,1,10
1679,3271,11284189,16,41892,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,11,Unicorn_Absent,-1,-1.0,3,232,0.93125,32.0,0.0,50.0,0.0,0.609375,DOWN,0.17389813739634405,0.8875,1.0,0.6444444444444444,18,0.18818508442027443,1,10
1681,3275,11284189,18,41892,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,3,136,0.8,32.0,1.0,32.0,0.0,0.0,DOWN,0.17389813739634405,0.93125,0.0,0.0,11,0.17389813739634405,1,10
