level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
1084,2162,10226054,2,102282,Absent,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,62,0.9875,7.0,1.0,28.0,0.0,0.40625,RS,0.40656965974059917,,,,,,0,150
1086,2164,10226054,3,102282,Absent,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1.0,0,91,0.98125,10.0,0.0625,28.0,0.0,0.390625,RS,0.35372677547714554,0.9875,1.0,0.0,2,0.40656965974059917,0,150
1088,2170,10226054,6,102282,Absent,36,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,27,5,Unicorn_Absent,-1,-1.0,0,182,0.96875,27.0,0.15625,39.0,0.1266891891891892,0.53125,RS,0.19878142154087985,0.98125,0.0625,0.0,3,0.35372677547714554,0,150
1090,2178,10226054,10,102282,Absent,27,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,26,6,Unicorn_Absent,-1,-1.0,0,196,0.9625,21.0,0.17073170731707318,32.0,0.1266891891891892,0.40625,RS,0.23722423237162518,0.96875,0.15625,0.1266891891891892,5,0.19878142154087985,0,150
1092,2184,10226054,13,102282,Absent,17,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,22,10,Unicorn_Absent,-1,-1.0,0,279,0.9375,15.0,0.2413793103448276,42.0,0.11041666666666666,0.5,RS,0.2902735027026453,0.9625,0.17073170731707318,0.1266891891891892,6,0.23722423237162518,0,150
1094,2186,10226054,14,102282,Absent,17,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,22,10,Unicorn_Absent,-1,-1.0,0,301,0.9375,15.0,1.0,42.0,0.11041666666666666,0.5,RS,0.2902735027026453,0.9375,0.2413793103448276,0.11041666666666666,10,0.2902735027026453,0,150
1096,2190,10226054,16,102282,Absent,17,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,22,10,Unicorn_Absent,-1,-1.0,0,348,0.9375,15.0,1.0,42.0,0.13696060037523453,0.5,RS,0.2902735027026453,0.9375,1.0,0.11041666666666666,10,0.2902735027026453,0,150
1098,2192,10226054,17,102282,Absent,17,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,22,10,Unicorn_Absent,-1,-1.0,0,370,0.9375,15.0,1.0,42.0,0.13696060037523453,0.5,RS,0.2902735027026453,0.9375,1.0,0.13696060037523453,10,0.2902735027026453,0,150
1100,2194,10226054,18,102282,Absent,17,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,22,10,Unicorn_Absent,-1,-1.0,0,392,0.9375,15.0,1.0,42.0,0.014106583072100332,0.5,RS,0.2902735027026453,0.9375,1.0,0.13696060037523453,10,0.2902735027026453,0,150
1102,2196,10226054,19,102282,Absent,17,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,22,10,Unicorn_Absent,-1,-1.0,0,414,0.9375,15.0,1.0,42.0,0.014106583072100332,0.5,RS,0.2902735027026453,0.9375,1.0,0.014106583072100332,10,0.2902735027026453,0,150
