index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
3000,10803315,1,108096,Absent,49,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,23,9,Unicorn_Absent,-1,-1,0,23,0.94375,30.0,1.0,41.0,0.0,0.5,RS,,,,,,0.025,70
3006,10803315,4,108096,Absent,49,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,23,9,Unicorn_Absent,-1,-1,0,-1,0.94375,30.0,1.0,41.0,0.0,0.5,RS,0.94375,1.0,0.0,9,RS,0.025,70
3010,10803315,6,108096,Absent,49,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,23,9,Unicorn_Absent,-1,-1,0,-51,0.94375,30.0,1.0,41.0,0.0,0.5,RS,0.94375,1.0,0.0,9,RS,0.025,70
3012,10803315,7,108096,Absent,49,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,23,9,Unicorn_Absent,-1,-1,0,-28,0.94375,30.0,1.0,41.0,0.0,0.5,RS,0.94375,1.0,0.0,9,RS,0.025,70
3016,10803315,9,108096,Absent,61,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,16,16,Unicorn_Absent,-1,-1,0,20,0.9,34.0,0.391304347826087,50.0,0.0,0.53125,RS,0.94375,1.0,0.0,9,RS,0.025,70
3018,10803315,10,108096,Absent,61,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,20,12,Unicorn_Absent,-1,-1,0,40,0.925,34.0,1.0,40.0,0.0,0.4375,RS,0.9,0.391304347826087,0.0,16,RS,0.025,70
3024,10803315,13,108096,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1,7,37,0.98125,36.0,0.34615384615384615,38.0,0.0,0.546875,IN,0.925,1.0,0.0,12,RS,0.025,70
3028,10803315,15,108096,Absent,60,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,20,12,Unicorn_Absent,-1,-1,0,79,0.925,42.0,0.41818181818181815,47.0,0.0,0.546875,RS,0.98125,0.34615384615384615,0.0,3,IN,0.025,70
3032,10803315,17,108096,Absent,45,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,14,18,Unicorn_Absent,-1,-1,0,125,0.8875,34.0,0.35714285714285715,49.0,0.20948616600790515,0.484375,RS,0.925,0.41818181818181815,0.0,12,RS,0.025,70
3036,10803315,19,108096,Absent,43,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,24,8,Unicorn_Absent,-1,-1,0,181,0.95,31.0,0.3829787234042553,40.0,0.20948616600790515,0.5,RS,0.8875,0.35714285714285715,0.20948616600790515,18,RS,0.025,70
