index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Gamma
2642,12216593,2,122170,Absent,27,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,9,Unicorn_Absent,-1,-1.0,0,-44,0.94375,16.0,1.0,51.0,0.0,0.65625,RS,,,,,,0.025,0.99
2650,12216593,6,122170,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,-29,0.99375,1.0,0.0,33.0,0.0,0.5,RS,0.94375,1.0,0.0,9,RS,0.025,0.99
2656,12216593,9,122170,Absent,22,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,22,10,Unicorn_Absent,-1,-1.0,0,56,0.9375,18.0,0.0,51.0,0.4528301886792453,0.640625,RS,0.99375,0.0,0.0,1,RS,0.025,0.99
2658,12216593,10,122170,Absent,36,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,12,20,Unicorn_Absent,-1,-1.0,0,68,0.875,29.0,0.3055555555555556,52.0,0.4528301886792453,0.5,RS,0.9375,0.0,0.4528301886792453,10,RS,0.025,0.99
2660,12216593,11,122170,Absent,36,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,12,20,Unicorn_Absent,-1,-1.0,0,80,0.875,29.0,1.0,52.0,0.52,0.5,RS,0.875,0.3055555555555556,0.4528301886792453,20,RS,0.025,0.99
2664,12216593,13,122170,Absent,29,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,18,14,Unicorn_Absent,-1,-1.0,0,129,0.9125,25.0,0.22727272727272727,42.0,0.52,0.4375,RS,0.875,1.0,0.52,20,RS,0.025,0.99
2678,12216593,20,122170,Absent,40,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,12,20,Unicorn_Absent,-1,-1.0,0,72,0.875,27.0,0.2682926829268293,49.0,0.6944444444444444,0.453125,RS,0.9125,0.22727272727272727,0.52,14,RS,0.025,0.99
2680,12216593,21,122170,Absent,21,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,25,7,Unicorn_Absent,-1,-1.0,0,97,0.95625,19.0,0.24324324324324326,48.0,0.6944444444444444,0.640625,RS,0.875,0.2682926829268293,0.6944444444444444,20,RS,0.025,0.99
2686,12216593,24,122170,Absent,18,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28,4,Unicorn_Absent,-1,-1.0,0,-14,0.975,16.0,0.34615384615384615,21.0,0.0,0.265625,RS,0.95625,0.24324324324324326,0.6944444444444444,7,RS,0.025,0.99
2688,12216593,25,122170,Absent,43,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,26,6,Unicorn_Absent,-1,-1.0,0,12,0.9625,32.0,0.17073170731707318,35.0,0.0,0.453125,RS,0.975,0.34615384615384615,0.0,4,RS,0.025,0.99
2690,12216593,26,122170,Absent,49,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,29,3,Unicorn_Absent,-1,-1.0,0,41,0.98125,38.0,0.2962962962962963,38.0,0.16895368782161238,0.546875,RS,0.9625,0.17073170731707318,0.0,6,RS,0.025,0.99
2692,12216593,27,122170,Absent,49,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,29,3,Unicorn_Absent,-1,-1.0,0,70,0.98125,38.0,1.0,38.0,0.16895368782161238,0.546875,RS,0.98125,0.2962962962962963,0.16895368782161238,3,RS,0.025,0.99
2694,12216593,28,122170,Absent,49,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,24,8,Unicorn_Absent,-1,-1.0,0,94,0.95,38.0,1.0,48.0,0.10906580763920848,0.625,RS,0.98125,1.0,0.16895368782161238,3,RS,0.025,0.99
