level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
524,1080,10176461,1,101778,Absent,62,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,15,17,Unicorn_Absent,-1,-1,0,15,0.89375,35.0,1.0,49.0,0.0,0.5,RS,0.1612452535498154,,,,,,0.05,0
526,1082,10176461,2,101778,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,18,14,Unicorn_Absent,-1,-1,5,33,0.9125,32.0,0.34,49.0,0.0,0.546875,LEFT,0.18818508442027443,0.89375,1.0,0.0,17,0.1612452535498154,0.05,0
528,1088,10176461,5,101778,Absent,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1,0,23,0.99375,2.0,0.030303030303030304,14.0,0.6599999999999999,0.203125,RS,0.594749338357888,0.9125,0.34,0.0,14,0.18818508442027443,0.05,0
530,1092,10176461,7,101778,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1,0,85,0.99375,1.0,0.0,64.0,0.6599999999999999,0.984375,RS,0.594749338357888,0.99375,0.030303030303030304,0.6599999999999999,1,0.594749338357888,0.05,0
532,1100,10176461,11,101778,Absent,32,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,22,10,Unicorn_Absent,-1,-1,0,-115,0.9375,26.0,0.038461538461538464,42.0,0.1588861588861589,0.5,RS,0.20444612479589325,0.99375,0.0,0.6599999999999999,1,0.594749338357888,0.05,0
534,1102,10176461,12,101778,Absent,32,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,22,10,Unicorn_Absent,-1,-1,0,-93,0.9375,26.0,1.0,42.0,0.1588861588861589,0.5,RS,0.20444612479589325,0.9375,0.038461538461538464,0.1588861588861589,10,0.20444612479589325,0.05,0
536,1110,10176461,16,101778,Absent,63,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,16,16,Unicorn_Absent,-1,-1,0,-95,0.9,36.0,0.3191489361702128,41.0,0.203125,0.390625,RS,0.1612452535498154,0.9375,1.0,0.1588861588861589,10,0.20444612479589325,0.05,0
538,1112,10176461,17,101778,Absent,63,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,15,17,Unicorn_Absent,-1,-1,0,-80,0.89375,36.0,1.0,51.0,0.203125,0.53125,RS,0.1612452535498154,0.9,0.3191489361702128,0.203125,16,0.1612452535498154,0.05,0
540,1114,10176461,18,101778,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,Unicorn_Absent,-1,-1,4,-62,0.9125,32.0,0.3333333333333333,44.0,0.36778846153846156,0.46875,UP,0.18818508442027443,0.89375,1.0,0.203125,17,0.1612452535498154,0.05,0
542,1116,10176461,19,101778,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1,7,-48,0.8875,36.0,0.36,50.0,0.36778846153846156,0.5,IN,0.15734346296411772,0.9125,0.3333333333333333,0.36778846153846156,14,0.18818508442027443,0.05,0
