index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Gamma
1080,10358576,1,103558,Absent,62,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,19,13,Unicorn_Absent,-1,-1.0,0,19,0.91875,41.0,1.0,44.0,0.0,0.484375,RS,,,,,,[0.025],[0.95]
1086,10358576,4,103558,Absent,62,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,26,6,Unicorn_Absent,-1,-1.0,0,83,0.9625,41.0,1.0,45.0,0.0,0.609375,RS,0.91875,1.0,0.0,13,RS,[0.025],[0.95]
1090,10358576,6,103558,Absent,62,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,26,6,Unicorn_Absent,-1,-1.0,0,137,0.9625,41.0,1.0,45.0,0.96,0.609375,RS,0.9625,1.0,0.0,6,RS,[0.025],[0.95]
1092,10358576,7,103558,Absent,46,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,21,11,Unicorn_Absent,-1,-1.0,0,158,0.93125,33.0,0.5102040816326531,44.0,0.96,0.515625,RS,0.9625,1.0,0.96,6,RS,[0.025],[0.95]
1094,10358576,8,103558,Absent,28,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,24,8,Unicorn_Absent,-1,-1.0,0,182,0.95,22.0,0.27906976744186046,36.0,0.0,0.4375,RS,0.93125,0.5102040816326531,0.96,11,RS,[0.025],[0.95]
1096,10358576,9,103558,Absent,28,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,29,3,Unicorn_Absent,-1,-1.0,0,211,0.98125,22.0,1.0,29.0,0.0,0.40625,RS,0.95,0.27906976744186046,0.0,8,RS,[0.025],[0.95]
1100,10358576,11,103558,Absent,28,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,26,6,Unicorn_Absent,-1,-1.0,0,267,0.9625,22.0,1.0,38.0,0.3673469387755102,0.5,RS,0.98125,1.0,0.0,3,RS,[0.025],[0.95]
1102,10358576,12,103558,Absent,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,298,0.99375,1.0,0.045454545454545456,41.0,0.3673469387755102,0.625,RS,0.9625,1.0,0.3673469387755102,6,RS,[0.025],[0.95]
1108,10358576,15,103558,Absent,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,295,0.99375,1.0,1.0,26.0,0.7209302325581395,0.390625,RS,0.99375,0.045454545454545456,0.3673469387755102,1,RS,[0.025],[0.95]
1110,10358576,16,103558,Absent,32,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,22,10,Unicorn_Absent,-1,-1.0,0,317,0.9375,27.0,0.0,43.0,0.7209302325581395,0.515625,RS,0.99375,1.0,0.7209302325581395,1,RS,[0.025],[0.95]
