Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
518346049,1,5183,Present,2,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,32,21,Unicorn_Present,1,1.0,0,Unicorn_Present,32,1.0,,RS,42,,56,,0.546875,,,,,,RS,RS
518346049,2,5183,Present,15,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,27,13,Unicorn_Present,6,5.0,0,Unicorn_Present,59,0.96875,0.0,RS,30,0.4117647058823529,49,0.0980392156862745,0.5625,32.0,1.0,,,RS,RS,UP
518346049,3,5183,Present,4,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,32,16,Unicorn_Present,2,7.0,0,Unicorn_Absent,91,1.0,5.0,RS,32,0.4090909090909091,48,0.5909090909090908,0.5,27.0,0.96875,0.4117647058823529,0.0980392156862745,RS,UP,UP
518346049,4,5183,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,16,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,123,1.0,0.0,UP,32,0.30612244897959184,48,0.6938775510204082,0.5,32.0,1.0,0.4090909090909091,0.5909090909090908,RS,UP,RS
518346049,5,5183,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,17,17,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,140,0.90625,0.0,UP,32,1.0,53,0.5106382978723405,0.5625,32.0,1.0,0.30612244897959184,0.6938775510204082,UP,RS,DOWN
518346049,6,5183,Absent,46,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,18,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,158,0.9125,15.0,RS,34,0.29411764705882354,50,0.1568627450980392,0.46875,17.0,0.90625,1.0,0.5106382978723405,UP,DOWN,DOWN
518346049,7,5183,Present,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,18,Unicorn_Present,5,0.0,3,Unicorn_Absent,190,1.0,14.0,DOWN,32,0.40425531914893614,50,0.03574468085106386,0.5,18.0,0.9125,0.29411764705882354,0.1568627450980392,RS,DOWN,RS
518346049,8,5183,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,Unicorn_Absent,-1,-1.0,3,Unicorn_Absent,206,0.9,0.0,DOWN,32,1.0,50,0.0,0.5,32.0,1.0,0.40425531914893614,0.03574468085106386,DOWN,RS,RS
518346049,9,5183,Absent,42,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,19,14,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,225,0.91875,16.0,RS,30,0.2916666666666667,48,0.0683333333333333,0.53125,16.0,0.9,1.0,0.0,DOWN,RS,RS
518346049,10,5183,Absent,46,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,-79,13,Unicorn_Present,6,2.0,0,Unicorn_Absent,146,0.30625,13.0,RS,29,0.37209302325581395,48,0.038759689922480633,0.546875,19.0,0.91875,0.2916666666666667,0.0683333333333333,RS,RS,DOWN
