index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Category,lagScore,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,RegionGo
2527,42991857,8,1857,Absent,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,32,7,Unicorn_Absent,-1,-1.0,9,RS,27.0,59,1.0,18,0.0,33.0,0.19230769230769232,0.40625,,,,,UP
2529,42991857,10,1857,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,13,Unicorn_Absent,-1,-1.0,4,UP,32.0,91,1.0,32,0.16279069767441862,46.0,0.09361955873583777,0.515625,1.0,0.0,0.19230769230769232,7.0,RS
2531,42991857,12,1857,Absent,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,5,Unicorn_Absent,-1,-1.0,9,RS,32.0,118,0.96875,8,0.14285714285714285,25.0,0.21825396825396826,0.3125,1.0,0.16279069767441862,0.09361955873583777,13.0,RS
2532,42991857,13,1857,Absent,38,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,9,RS,27.0,148,0.9875,30,0.02702702702702703,35.0,0.13297297297297297,0.515625,0.96875,0.14285714285714285,0.21825396825396826,5.0,RS
2533,42991857,14,1857,Absent,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,Unicorn_Absent,-1,-1.0,9,RS,30.0,170,0.9375,1,0.03333333333333333,34.0,0.10555555555555557,0.515625,0.9875,0.02702702702702703,0.13297297297297297,2.0,UP
2537,42991857,18,1857,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,UP,22.0,202,1.0,32,0.03125,64.0,0.34375,1.0,0.9375,0.03333333333333333,0.10555555555555557,1.0,UP
2538,42991857,19,1857,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,UP,32.0,234,1.0,32,1.0,64.0,0.0,1.0,1.0,0.03125,0.34375,0.0,UP
2539,42991857,20,1857,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,UP,32.0,266,1.0,32,1.0,64.0,0.0,1.0,1.0,1.0,0.0,0.0,UP
2541,42991857,22,1857,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,UP,32.0,298,1.0,32,1.0,64.0,0.0,1.0,1.0,1.0,0.0,0.0,UP
2542,42991857,23,1857,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,UP,32.0,330,1.0,32,1.0,64.0,0.0,1.0,1.0,1.0,0.0,0.0,UP
2543,42991857,24,1857,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,UP,32.0,362,1.0,32,1.0,64.0,0.0,1.0,1.0,1.0,0.0,0.0,UP
2549,42991857,30,1857,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,UP,32.0,394,1.0,32,1.0,64.0,0.0,1.0,1.0,1.0,0.0,0.0,UP
