index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,RegionGo,RegionGo2
2.0,24655781,2,781,Absent,5.0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32.0,15,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,62.0,1.0,9.0,RIGHT,1,0,29.025,32.0,32,0.3958333333333333,49,0.02083333333333337,0.53125,,,,,RIGHT,RS
3.0,24655781,4,781,Absent,32.0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,17.0,15,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,95.0,0.90625,0.0,RIGHT,4,0,29.025,29.025,32,1.0,49,0.0,0.53125,32.0,1.0,0.3958333333333333,0.02083333333333337,RS,RS
4.0,24655781,5,781,Absent,43.0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,17.0,15,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,112.0,0.90625,15.0,RS,5,0,29.025,29.025,29,0.2978723404255319,47,0.002127659574468088,0.5,17.0,0.90625,1.0,0.0,RS,RIGHT
6.0,24655781,6,781,Absent,24.0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,25.0,15,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,150.0,1.0,11.0,RS,6,0,29.025,24.5,30,0.2553191489361702,46,0.07801418439716312,0.484375,17.0,0.90625,0.2978723404255319,0.002127659574468088,RIGHT,UP
7.0,24655781,8,781,Absent,32.0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,18.0,14,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,179.0,0.9125,9.0,RIGHT,9,0,29.025,29.025,32,0.3191489361702128,49,0.027482269503546097,0.546875,25.0,1.0,0.2553191489361702,0.07801418439716312,UP,UP
8.0,24655781,9,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,211.0,1.0,14.0,UP,10,0,29.025,29.025,32,0.3333333333333333,64,0.047619047619047616,1.0,18.0,0.9125,0.3191489361702128,0.027482269503546097,UP,UP
9.0,24655781,10,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.025,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,243.0,1.0,0.0,UP,11,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,0.3333333333333333,0.047619047619047616,UP,UP
11.0,24655781,11,781,Absent,16.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,307.0,1.0,0.0,UP,12,0,29.025,32.0,32,1.0,64,0.0,1.0,29.025,1.0,1.0,0.0,UP,UP
13.0,24655781,14,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.025,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,371.0,1.0,0.0,UP,16,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
16.0,24655781,15,781,Absent,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,467.0,1.0,0.0,UP,17,0,29.025,32.0,32,1.0,64,0.0,1.0,29.025,1.0,1.0,0.0,UP,UP
