level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1
4116,8162,10676031,2,10674,Absent,27,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,18,14,Unicorn_Absent,-1,-1.0,0,50,0.9125,21.0,1.0,51.0,0.0,0.578125,RS,0.24484627166971443,,,,,
4118,8168,10676031,5,10674,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,6,-70,0.8875,32.0,0.358974358974359,50.0,0.0,0.5,RIGHT,0.17389813739634405,0.9125,1.0,0.0,14,0.24484627166971443
4120,8178,10676031,10,10674,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,17,15,Unicorn_Absent,-1,-1.0,8,-139,0.90625,28.0,0.30434782608695654,44.0,0.17948717948717946,0.453125,OUT,0.2103787656745015,0.8875,0.358974358974359,0.0,18,0.17389813739634405
4122,8180,10676031,11,10674,Absent,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,28,4,Unicorn_Absent,-1,-1.0,0,-111,0.975,9.0,0.08823529411764706,37.0,0.17948717948717946,0.515625,RS,0.36972808936944906,0.90625,0.30434782608695654,0.17948717948717946,15,0.2103787656745015
4124,8182,10676031,12,10674,Absent,20,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,21,11,Unicorn_Absent,-1,-1.0,0,-90,0.93125,20.0,0.11538461538461539,41.0,0.009377664109121886,0.46875,RS,0.24484627166971443,0.975,0.08823529411764706,0.17948717948717946,4,0.36972808936944906
4126,8194,10676031,18,10674,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,1,70,0.8,64.0,0.3125,64.0,0.009377664109121886,0.5,ALL,0.0924417853680727,0.93125,0.11538461538461539,0.009377664109121886,11,0.24484627166971443
4128,8200,10676031,21,10674,Absent,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1.0,0,162,0.98125,6.0,0.09375,39.0,0.22426470588235292,0.5625,RS,0.42804449119023485,0.8,0.3125,0.009377664109121886,32,0.0924417853680727
4130,8206,10676031,24,10674,Absent,30,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,16,16,Unicorn_Absent,-1,-1.0,0,24,0.9,24.0,0.2,40.0,0.22426470588235292,0.375,RS,0.21659936976800023,0.98125,0.09375,0.22426470588235292,3,0.42804449119023485
4132,8208,10676031,25,10674,Absent,26,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,8,Unicorn_Absent,-1,-1.0,0,48,0.95,20.0,0.2571428571428571,43.0,0.8846153846153846,0.546875,RS,0.24484627166971443,0.9,0.2,0.22426470588235292,16,0.21659936976800023
4134,8212,10676031,27,10674,Absent,10,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1.0,0,-5,0.98125,10.0,0.15384615384615385,48.0,0.8846153846153846,0.703125,RS,0.35372677547714554,0.95,0.2571428571428571,0.8846153846153846,8,0.24484627166971443
