Dyad,Player,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Is_there,Score,Joint,Is_there,where_x,where_y,Strategy,Category,Category1,Category,RegionGo,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1
51433200,32007,1,32007,Absent,20,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,Unicorn_Absent,23,9,Unicorn_Absent,-1,-1,9,RS,RS,RS,RS,23,0.94375,16,,43,,0.53125,,,,
51433200,32007,2,32007,Present,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unicorn_Present,32,0,Unicorn_Present,5,1,3,RS,DOWN,RS,RS,55,1,13,0.16,27,0.002790698,0.421875,0.94375,,,9
51433200,32007,3,32007,Present,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unicorn_Present,32,0,Unicorn_Present,2,0,3,RS,DOWN,RS,DOWN,87,1,2,0.153846154,5,0.06043956,0.078125,1,0.16,0.002790698,0
51433200,32007,4,32007,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unicorn_Absent,0,32,Unicorn_Absent,-1,-1,3,DOWN,DOWN,DOWN,RS,87,0.8,32,0.0625,64,0.015625,0.5,1,0.153846154,0.06043956,0
51433200,32007,5,32007,Absent,37,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,Unicorn_Present,-80,16,Unicorn_Present,6,7,9,RS,RS,RS,RIGHT,7,0.3,28,0.25,44,0.25,0.4375,0.8,0.0625,0.015625,32
51433200,32007,6,32007,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,Unicorn_Absent,14,18,Unicorn_Absent,-1,-1,6,RIGHT,RIGHT,RIGHT,NOTHING,21,0.8875,32,0.333333333,50,0.113475177,0.5,0.3,0.25,0.25,16
51433200,32007,7,32007,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unicorn_Absent,32,0,Unicorn_Absent,-1,-1,2,NOTHING,NOTHING,NOTHING,NOTHING,53,1,0,0,32,0.36,0.5,0.8875,0.333333333,0.113475177,18
51433200,32007,8,32007,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unicorn_Absent,32,0,Unicorn_Absent,-1,-1,2,NOTHING,NOTHING,NOTHING,NOTHING,85,1,0,1,32,0,0.5,1,0,0.36,0
51433200,32007,9,32007,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unicorn_Absent,32,0,Unicorn_Absent,-1,-1,2,NOTHING,NOTHING,NOTHING,NOTHING,117,1,0,1,32,0,0.5,1,1,0,0
51433200,32007,10,32007,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unicorn_Absent,32,0,Unicorn_Absent,-1,-1,2,NOTHING,NOTHING,NOTHING,NOTHING,149,1,0,1,32,0,0.5,1,1,0,0
