Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
12979743,1,12976,Present,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,31,1,Unicorn_Present,6,0.0,0,31,0.99375,3.0,1.0,22.0,0.0,0.328125,RS,RS,0.17692120631776423,,,,,
12979743,2,12976,Absent,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-65,1,Unicorn_Present,2,3.0,0,-34,0.39375,3.0,1.0,22.0,0.0,0.328125,RS,RS,0.17692120631776423,0.99375,1.0,0.0,1,0.17692120631776423
12979743,3,12976,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,1,-20,0.8875,64.0,0.046875,64.0,0.0,0.71875,ALL,ALL,1.0,0.39375,1.0,0.0,1,0.17692120631776423
12979743,4,12976,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,15,17,Unicorn_Absent,-1,-1.0,5,-5,0.89375,32.0,0.5,51.0,0.0,0.53125,LEFT,LEFT,1.0,0.8875,0.046875,0.0,18,1.0
12979743,5,12976,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,27,1.0,0.0,0.0,5.0,0.17893145161290322,0.078125,NOTHING,NOTHING,1.0,0.89375,0.5,0.0,17,1.0
12979743,6,12976,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,2,2.0,2,-37,0.4,0.0,1.0,5.0,0.17893145161290322,0.078125,NOTHING,NOTHING,1.0,1.0,0.0,0.17893145161290322,0,1.0
12979743,7,12976,Present,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,26,6,Unicorn_Present,6,6.0,3,-11,0.9625,23.0,0.0,35.0,0.2441860465116279,0.453125,RS,DOWN,0.049787068367863944,0.4,1.0,0.17893145161290322,0,1.0
12979743,8,12976,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,Unicorn_Absent,-1,-1.0,4,12,0.94375,32.0,0.0,45.0,0.2441860465116279,0.5625,UP,UP,1.0,0.9625,0.0,0.2441860465116279,6,0.049787068367863944
12979743,9,12976,Present,9,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,31,1,Unicorn_Present,6,7.0,0,43,0.99375,7.0,0.08333333333333333,15.0,0.1388888888888889,0.21875,RS,RS,0.07095202666684558,0.94375,0.0,0.2441860465116279,9,1.0
12979743,10,12976,Absent,39,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,-73,9,Unicorn_Present,3,1.0,0,-30,0.34375,26.0,0.2692307692307692,36.0,0.1388888888888889,0.421875,RS,RS,0.0061027272741740034,0.99375,0.08333333333333333,0.1388888888888889,1,0.07095202666684558
