level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1
1770,3602,10395847,2,103980,Absent,26,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,23,9,Unicorn_Absent,-1,-1.0,0,-50,0.94375,20.0,1.0,47.0,0.0,0.59375,RS,0.2528970706306086,,,,,
1772,3608,10395847,5,103980,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,37,1.0,0.0,0.0,22.0,0.0,0.34375,NOTHING,0.6542510918525355,0.94375,1.0,0.0,9,0.2528970706306086
1774,3612,10395847,7,103980,Absent,28,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,5,1.0,24.0,0.0,24.0,0.23404255319148937,0.375,RS,0.22313016014842982,1.0,0.0,0.0,0,0.6542510918525355
1776,3620,10395847,11,103980,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,-60,1.0,1.0,0.041666666666666664,1.0,0.23404255319148937,0.015625,RS,0.594749338357888,1.0,0.0,0.23404255319148937,0,0.22313016014842982
1778,3622,10395847,12,103980,Absent,28,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,22,10,Unicorn_Absent,-1,-1.0,0,-38,0.9375,25.0,0.0,48.0,0.0,0.59375,RS,0.22999588864622464,1.0,0.041666666666666664,0.23404255319148937,0,0.594749338357888
1780,3636,10395847,19,103980,Absent,43,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,30,2,Unicorn_Absent,-1,-1.0,0,-28,0.9875,35.0,0.2765957446808511,37.0,0.0,0.546875,RS,0.17389813739634405,0.9375,0.0,0.0,10,0.22999588864622464
1782,3638,10395847,20,103980,Absent,38,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,14,18,Unicorn_Absent,-1,-1.0,0,-14,0.8875,27.0,0.2653061224489796,45.0,0.9583333333333334,0.421875,RS,0.20444612479589325,0.9875,0.2765957446808511,0.0,2,0.17389813739634405
1784,3644,10395847,23,103980,Absent,27,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,31,1,Unicorn_Absent,-1,-1.0,0,80,0.99375,23.0,0.25,25.0,0.9583333333333334,0.375,RS,0.22999588864622464,0.8875,0.2653061224489796,0.9583333333333334,18,0.20444612479589325
1786,3646,10395847,24,103980,Absent,56,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,24,8,Unicorn_Absent,-1,-1.0,0,104,0.95,40.0,0.23529411764705882,43.0,0.0,0.546875,RS,0.14646961601798344,0.99375,0.25,0.9583333333333334,1,0.22999588864622464
1788,3648,10395847,25,103980,Absent,56,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,24,8,Unicorn_Absent,-1,-1.0,0,128,0.95,40.0,1.0,43.0,0.0,0.546875,RS,0.14646961601798344,0.95,0.23529411764705882,0.0,8,0.14646961601798344
