"Dyad","Player","Region","RegionGo","RJcode","Score"
10209098,"102064","RS","RS","vZ4",29
10209098,"102064","RS","NOTHING","bcelnpryJLOPWY08",16
10209098,"102064","NOTHING","LEFT","",32
10209098,"102064","LEFT","NOTHING","",32
10209098,"102064","NOTHING",NA,"",32
10209098,"909815","RS","RS","vZ4",29
10209098,"909815","RS","DOWN","bcelnpryJLOPWY08",16
10209098,"909815","DOWN","RIGHT","",32
10209098,"909815","RIGHT","OUT","",32
10209098,"909815","OUT",NA,"",32
12166214,"121646","RS","RS","xy",30
12166214,"121646","RS","RS","xy",30
12166214,"121646","RS","OUT","xy",30
12166214,"121646","OUT","OUT","",32
12166214,"121646","OUT","OUT","",32
12166214,"121646","OUT","OUT","",32
12166214,"121646","OUT","OUT","",32
12166214,"121646","OUT","OUT","",32
12166214,"121646","OUT","OUT","",32
12166214,"121646","OUT","OUT","",32
12166214,"121646","OUT","OUT","",32
12166214,"121646","OUT",NA,"",32
12166214,"621449","RS","RS","xy",30
12166214,"621449","RS","RS","xy",30
12166214,"621449","RS","IN","xy",30
12166214,"621449","IN","IN","",32
12166214,"621449","IN","IN","",32
12166214,"621449","IN","IN","",32
12166214,"621449","IN","IN","",32
12166214,"621449","IN","IN","",32
12166214,"621449","IN","IN","",32
12166214,"621449","IN","IN","",32
12166214,"621449","IN","IN","",32
12166214,"621449","IN",NA,"",32
16712197,"167168","ALL","RS","efghmnopuvwxCDEFKLMNSTUV012389;:",0
16712197,"167168","RS","ALL","cdefghmqrsuvxzACEF",14
16712197,"167168","ALL","LEFT","jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012",-4
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
16712197,"167168","LEFT","LEFT","",32
