index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Eta
3120,11532656,1,115359,Absent,43,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,20,12,Unicorn_Absent,-1,-1.0,0,20,0.925,30.0,1.0,40.0,0.0,0.4375,RS,,,,,,10,1
3122,11532656,2,115359,Absent,43,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,20,12,Unicorn_Absent,-1,-1.0,0,40,0.925,30.0,1.0,40.0,0.0,0.4375,RS,0.925,1.0,0.0,12,RS,10,1
3130,11532656,6,115359,Absent,49,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,32,0,Unicorn_Absent,-1,-1.0,0,158,1.0,34.0,0.3333333333333333,35.0,0.0,0.546875,RS,0.925,1.0,0.0,12,RS,10,1
3136,11532656,9,115359,Absent,58,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,28,4,Unicorn_Absent,-1,-1.0,0,132,0.975,41.0,0.41509433962264153,46.0,0.0,0.65625,RS,1.0,0.3333333333333333,0.0,0,RS,10,1
3138,11532656,10,115359,Absent,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,163,0.99375,10.0,0.13333333333333333,18.0,0.3333333333333333,0.265625,RS,0.975,0.41509433962264153,0.0,4,RS,10,1
3140,11532656,11,115359,Absent,31,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,20,12,Unicorn_Absent,-1,-1.0,0,183,0.925,25.0,0.12903225806451613,42.0,0.3333333333333333,0.46875,RS,0.99375,0.13333333333333333,0.3333333333333333,1,RS,10,1
3148,11532656,15,115359,Absent,31,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,20,12,Unicorn_Absent,-1,-1.0,0,-25,0.925,25.0,1.0,42.0,0.3039832285115304,0.46875,RS,0.925,0.12903225806451613,0.3333333333333333,12,RS,10,1
3150,11532656,16,115359,Absent,31,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,20,12,Unicorn_Absent,-1,-1.0,0,-5,0.925,25.0,1.0,42.0,0.3039832285115304,0.46875,RS,0.925,1.0,0.3039832285115304,12,RS,10,1
3160,11532656,21,115359,Absent,31,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,20,12,Unicorn_Absent,-1,-1.0,0,-87,0.925,25.0,1.0,42.0,0.8666666666666667,0.46875,RS,0.925,1.0,0.3039832285115304,12,RS,10,1
3170,11532656,26,115359,Absent,10,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,32,0,Unicorn_Absent,-1,-1.0,0,-138,1.0,9.0,0.0625,16.0,0.8666666666666667,0.25,RS,0.925,1.0,0.8666666666666667,12,RS,10,1
3172,11532656,27,115359,Absent,59,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,20,12,Unicorn_Absent,-1,-1.0,0,-118,0.925,35.0,0.07317073170731707,40.0,0.011385199240986715,0.4375,RS,1.0,0.0625,0.8666666666666667,0,RS,10,1
3182,11532656,32,115359,Absent,28,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,20,12,Unicorn_Absent,-1,-1.0,0,-174,0.925,22.0,0.2127659574468085,38.0,0.011385199240986715,0.40625,RS,0.925,0.07317073170731707,0.011385199240986715,12,RS,10,1
3186,11532656,34,115359,Absent,28,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,20,12,Unicorn_Absent,-1,-1.0,0,-127,0.925,22.0,1.0,38.0,0.0,0.40625,RS,0.925,0.2127659574468085,0.011385199240986715,12,RS,10,1
3188,11532656,35,115359,Absent,28,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,20,12,Unicorn_Absent,-1,-1.0,0,-107,0.925,22.0,1.0,38.0,0.0,0.40625,RS,0.925,1.0,0.0,12,RS,10,1
3192,11532656,37,115359,Absent,28,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,20,12,Unicorn_Absent,-1,-1.0,0,-60,0.925,22.0,1.0,38.0,0.0,0.40625,RS,0.925,1.0,0.0,12,RS,10,1
