level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
120,240,10455677,1,104582,Absent,56,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,24,8,Unicorn_Absent,-1,-1,0,24,0.95,41.0,1.0,47.0,0.0,0.609375,RS,0.149963012878635,,,,,,0.3,0.6
122,244,10455677,3,104582,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,87,1.0,1.0,0.024390243902439025,33.0,0.0,0.515625,RS,0.594749338357888,0.95,1.0,0.0,8,0.149963012878635,0.3,0.6
124,246,10455677,4,104582,Absent,16,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23,9,Unicorn_Absent,-1,-1,0,110,0.94375,16.0,0.0625,39.0,0.25338753387533874,0.46875,RS,0.2800485757226742,1.0,0.024390243902439025,0.0,0,0.594749338357888,0.3,0.6
126,254,10455677,8,104582,Absent,16,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16,16,Unicorn_Absent,-1,-1,0,-94,0.9,16.0,1.0,64.0,0.25338753387533874,0.75,RS,0.2800485757226742,0.94375,0.0625,0.25338753387533874,9,0.2800485757226742,0.3,0.6
128,264,10455677,13,104582,Absent,63,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,31,1,Unicorn_Absent,-1,-1,0,-48,0.99375,40.0,0.19148936170212766,43.0,0.9375,0.65625,RS,0.14646961601798344,0.9,1.0,0.25338753387533874,16,0.2800485757226742,0.3,0.6
130,270,10455677,16,104582,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Unicorn_Absent,-1,-1,4,11,0.8,32.0,0.2631578947368421,32.0,0.9375,0.0,UP,0.18818508442027443,0.99375,0.19148936170212766,0.9375,1,0.14646961601798344,0.3,0.6
132,272,10455677,17,104582,Absent,58,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,12,20,Unicorn_Absent,-1,-1,0,23,0.875,38.0,0.32075471698113206,54.0,0.5,0.53125,RS,0.1612452535498154,0.8,0.2631578947368421,0.9375,32,0.18818508442027443,0.3,0.6
134,278,10455677,20,104582,Absent,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,26,6,Unicorn_Absent,-1,-1,0,16,0.9625,7.0,0.125,33.0,0.5,0.421875,RS,0.40656965974059917,0.875,0.32075471698113206,0.5,20,0.1612452535498154,0.3,0.6
136,282,10455677,22,104582,Absent,44,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,16,16,Unicorn_Absent,-1,-1,0,32,0.9,33.0,0.05263157894736842,49.0,0.12898936170212766,0.515625,RS,0.18322208643830706,0.9625,0.125,0.5,6,0.40656965974059917,0.3,0.6
138,288,10455677,25,104582,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,3,128,1.0,32.0,0.3541666666666667,64.0,0.12898936170212766,1.0,DOWN,0.17389813739634405,0.9,0.05263157894736842,0.12898936170212766,16,0.18322208643830706,0.3,0.6
