level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
296,606,11073085,4,110773,Absent,29,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,20,12,Unicorn_Absent,-1,-1,0,10,0.925,23.0,1.0,48.0,0.0,0.5625,RS,0.22313016014842982,,,,,,0.3,0
298,614,11073085,8,110773,Absent,29,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,20,12,Unicorn_Absent,-1,-1,0,8,0.925,23.0,1.0,48.0,0.0,0.5625,RS,0.22313016014842982,0.925,1.0,0.0,12,0.22313016014842982,0.3,0
300,616,11073085,9,110773,Absent,29,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,20,12,Unicorn_Absent,-1,-1,0,28,0.925,23.0,1.0,48.0,0.0,0.5625,RS,0.22313016014842982,0.925,1.0,0.0,12,0.22313016014842982,0.3,0
302,622,11073085,12,110773,Absent,29,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,20,12,Unicorn_Absent,-1,-1,0,97,0.925,23.0,1.0,48.0,0.0,0.5625,RS,0.22313016014842982,0.925,1.0,0.0,12,0.22313016014842982,0.3,0
304,624,11073085,13,110773,Absent,29,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,20,12,Unicorn_Absent,-1,-1,0,117,0.925,23.0,1.0,48.0,0.0,0.5625,RS,0.22313016014842982,0.925,1.0,0.0,12,0.22313016014842982,0.3,0
306,626,11073085,14,110773,Absent,29,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,20,12,Unicorn_Absent,-1,-1,0,137,0.925,23.0,1.0,48.0,0.0,0.5625,RS,0.22313016014842982,0.925,1.0,0.0,12,0.22313016014842982,0.3,0
308,628,11073085,15,110773,Absent,29,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,20,12,Unicorn_Absent,-1,-1,0,157,0.925,23.0,1.0,48.0,0.0,0.5625,RS,0.22313016014842982,0.925,1.0,0.0,12,0.22313016014842982,0.3,0
310,630,11073085,16,110773,Absent,29,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,20,12,Unicorn_Absent,-1,-1,0,177,0.925,23.0,1.0,48.0,0.0,0.5625,RS,0.22313016014842982,0.925,1.0,0.0,12,0.22313016014842982,0.3,0
312,632,11073085,17,110773,Absent,29,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,20,12,Unicorn_Absent,-1,-1,0,197,0.925,23.0,1.0,48.0,0.0,0.5625,RS,0.22313016014842982,0.925,1.0,0.0,12,0.22313016014842982,0.3,0
314,634,11073085,18,110773,Absent,29,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,20,12,Unicorn_Absent,-1,-1,0,217,0.925,23.0,1.0,48.0,0.0,0.5625,RS,0.22313016014842982,0.925,1.0,0.0,12,0.22313016014842982,0.3,0
316,636,11073085,19,110773,Absent,29,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,20,12,Unicorn_Absent,-1,-1,0,237,0.925,23.0,1.0,48.0,0.0,0.5625,RS,0.22313016014842982,0.925,1.0,0.0,12,0.22313016014842982,0.3,0
318,638,11073085,20,110773,Absent,29,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,20,12,Unicorn_Absent,-1,-1,0,257,0.925,23.0,1.0,48.0,0.0,0.5625,RS,0.22313016014842982,0.925,1.0,0.0,12,0.22313016014842982,0.3,0
320,646,11073085,24,110773,Absent,29,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,23,9,Unicorn_Absent,-1,-1,0,252,0.94375,23.0,1.0,39.0,0.0,0.46875,RS,0.22313016014842982,0.925,1.0,0.0,12,0.22313016014842982,0.3,0
322,648,11073085,25,110773,Absent,29,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,23,9,Unicorn_Absent,-1,-1,0,275,0.94375,23.0,1.0,39.0,0.0,0.46875,RS,0.22313016014842982,0.94375,1.0,0.0,9,0.22313016014842982,0.3,0
324,652,11073085,27,110773,Absent,25,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1,0,331,0.96875,19.0,0.23529411764705882,32.0,0.0,0.421875,RS,0.2528970706306086,0.94375,1.0,0.0,9,0.22313016014842982,0.3,0
