index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
1562,12026688,2,120246,Absent,49,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,24,8,Unicorn_Absent,-1,-1.0,0,-48,0.95,36.0,1.0,44.0,0.0,0.5625,RS,,,,,,0.5,0.2
1564,12026688,3,120246,Absent,49,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,24,8,Unicorn_Absent,-1,-1.0,0,-24,0.95,36.0,1.0,44.0,0.0,0.5625,RS,0.95,1.0,0.0,8,RS,0.5,0.2
1566,12026688,4,120246,Absent,49,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,24,8,Unicorn_Absent,-1,-1.0,0,0,0.95,36.0,1.0,44.0,0.0,0.5625,RS,0.95,1.0,0.0,8,RS,0.5,0.2
1568,12026688,5,120246,Absent,49,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,0,14,0.8875,36.0,1.0,50.0,0.0,0.5,RS,0.95,1.0,0.0,8,RS,0.5,0.2
1570,12026688,6,120246,Absent,49,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,21,11,Unicorn_Absent,-1,-1.0,0,35,0.93125,36.0,1.0,43.0,0.0,0.5,RS,0.8875,1.0,0.0,18,RS,0.5,0.2
1572,12026688,7,120246,Absent,49,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,21,11,Unicorn_Absent,-1,-1.0,0,56,0.93125,36.0,1.0,43.0,0.0,0.5,RS,0.93125,1.0,0.0,11,RS,0.5,0.2
1574,12026688,8,120246,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,22,10,Unicorn_Absent,-1,-1.0,6,78,0.9375,32.0,0.4166666666666667,40.0,0.8292682926829268,0.46875,RIGHT,0.93125,1.0,0.0,11,RS,0.5,0.2
1582,12026688,12,120246,Absent,30,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,20,12,Unicorn_Absent,-1,-1.0,0,86,0.925,24.0,0.2727272727272727,46.0,0.8292682926829268,0.53125,RS,0.9375,0.4166666666666667,0.8292682926829268,10,RIGHT,0.5,0.2
1586,12026688,14,120246,Absent,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,150,1.0,7.0,0.19230769230769232,11.0,0.75,0.171875,RS,0.925,0.2727272727272727,0.8292682926829268,12,RS,0.5,0.2
1594,12026688,18,120246,Absent,49,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,30,2,Unicorn_Absent,-1,-1.0,0,269,0.9875,33.0,0.08108108108108109,36.0,0.75,0.53125,RS,1.0,0.19230769230769232,0.75,0,RS,0.5,0.2
1596,12026688,19,120246,Absent,35,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,21,11,Unicorn_Absent,-1,-1.0,0,290,0.93125,28.0,0.4186046511627907,42.0,0.0,0.484375,RS,0.9875,0.08108108108108109,0.75,2,RS,0.5,0.2
1600,12026688,21,120246,Absent,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,30,2,Unicorn_Absent,-1,-1.0,0,350,0.9875,6.0,0.0625,30.0,0.0,0.4375,RS,0.93125,0.4186046511627907,0.0,11,RS,0.5,0.2
1604,12026688,23,120246,Absent,29,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,411,0.9875,24.0,0.1111111111111111,26.0,0.5833333333333333,0.375,RS,0.9875,0.0625,0.0,2,RS,0.5,0.2
1610,12026688,26,120246,Absent,16,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,25,7,Unicorn_Absent,-1,-1.0,0,395,0.95625,14.0,0.26666666666666666,21.0,0.5833333333333333,0.21875,RS,0.9875,0.1111111111111111,0.5833333333333333,2,RS,0.5,0.2
1618,12026688,30,120246,Absent,16,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,25,7,Unicorn_Absent,-1,-1.0,0,207,0.95625,14.0,1.0,21.0,0.06342494714587735,0.21875,RS,0.95625,0.26666666666666666,0.5833333333333333,7,RS,0.5,0.2
1620,12026688,31,120246,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,25,7,Unicorn_Absent,-1,-1.0,8,232,0.95625,28.0,0.16666666666666666,35.0,0.06342494714587735,0.4375,OUT,0.95625,1.0,0.06342494714587735,7,RS,0.5,0.2
1624,12026688,33,120246,Absent,59,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,25,7,Unicorn_Absent,-1,-1.0,0,285,0.95625,40.0,0.36,47.0,0.1065934065934066,0.625,RS,0.95625,0.16666666666666666,0.06342494714587735,7,OUT,0.5,0.2
1628,12026688,35,120246,Absent,49,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,27,5,Unicorn_Absent,-1,-1.0,0,342,0.96875,33.0,0.43137254901960786,37.0,0.1065934065934066,0.5,RS,0.95625,0.36,0.1065934065934066,7,RS,0.5,0.2
1640,12026688,41,120246,Absent,7,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,31,1,Unicorn_Absent,-1,-1.0,0,239,0.99375,7.0,0.1111111111111111,21.0,0.08108108108108109,0.3125,RS,0.96875,0.43137254901960786,0.1065934065934066,5,RS,0.5,0.2
1642,12026688,42,120246,Absent,39,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,25,7,Unicorn_Absent,-1,-1.0,0,264,0.95625,31.0,0.02702702702702703,39.0,0.08108108108108109,0.5,RS,0.99375,0.1111111111111111,0.08108108108108109,1,RS,0.5,0.2
1646,12026688,44,120246,Absent,39,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,25,7,Unicorn_Absent,-1,-1.0,0,317,0.95625,31.0,1.0,39.0,0.34717607973421927,0.5,RS,0.95625,0.02702702702702703,0.08108108108108109,7,RS,0.5,0.2
