index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Gamma
360,10086843,1,100881,Absent,42,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,27,5,Unicorn_Absent,-1,-1,0,27,0.96875,30.0,1.0,35.0,0.0,0.46875,RS,,,,,,0.025,0.99
378,10086843,10,100881,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-4,36,Unicorn_Absent,-1,-1,7,66,0.775,36.0,0.29411764705882354,64.0,0.0,0.4375,IN,0.96875,1.0,0.0,5,RS,0.025,0.99
380,10086843,11,100881,Absent,59,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,32,0,Unicorn_Absent,-1,-1,0,98,1.0,36.0,0.4117647058823529,36.0,0.13786764705882354,0.5625,RS,0.775,0.29411764705882354,0.0,36,IN,0.025,0.99
382,10086843,12,100881,Absent,50,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,9,23,Unicorn_Absent,-1,-1,0,107,0.85625,34.0,0.4583333333333333,51.0,0.13786764705882354,0.4375,RS,1.0,0.4117647058823529,0.13786764705882354,0,RS,0.025,0.99
384,10086843,13,100881,Absent,50,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,9,23,Unicorn_Absent,-1,-1,0,116,0.85625,34.0,1.0,51.0,0.4117647058823529,0.4375,RS,0.85625,0.4583333333333333,0.13786764705882354,23,RS,0.025,0.99
388,10086843,15,100881,Absent,50,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,9,23,Unicorn_Absent,-1,-1,0,140,0.85625,34.0,1.0,51.0,0.4117647058823529,0.4375,RS,0.85625,1.0,0.4117647058823529,23,RS,0.025,0.99
390,10086843,16,100881,Absent,50,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,9,23,Unicorn_Absent,-1,-1,0,149,0.85625,34.0,1.0,51.0,0.4583333333333333,0.4375,RS,0.85625,1.0,0.4117647058823529,23,RS,0.025,0.99
392,10086843,17,100881,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,14,18,Unicorn_Absent,-1,-1,8,163,0.8875,28.0,0.3191489361702128,50.0,0.4583333333333333,0.5,OUT,0.85625,1.0,0.4583333333333333,23,RS,0.025,0.99
400,10086843,21,100881,Absent,11,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,28,4,Unicorn_Absent,-1,-1,0,81,0.975,10.0,0.22580645161290322,36.0,0.0,0.5,RS,0.8875,0.3191489361702128,0.4583333333333333,18,OUT,0.025,0.99
402,10086843,22,100881,Absent,11,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,28,4,Unicorn_Absent,-1,-1,0,109,0.975,10.0,1.0,36.0,0.0,0.5,RS,0.975,0.22580645161290322,0.0,4,RS,0.025,0.99
